"Age Range ID","Age Range","Sex ID","Sex","Time ID","Time","Cases","Total Cases","Percentage"
1,"0 a 4 años",1,"Hombre",20210905,"2021-09-05",7,14,0.5
1,"0 a 4 años",2,"Mujer",20210905,"2021-09-05",7,14,0.5
2,"5 a 9 años",1,"Hombre",20210905,"2021-09-05",9,16,0.5625
2,"5 a 9 años",2,"Mujer",20210905,"2021-09-05",7,16,0.4375
3,"10 a 14 años",1,"Hombre",20210905,"2021-09-05",8,14,0.5714285714285714
3,"10 a 14 años",2,"Mujer",20210905,"2021-09-05",6,14,0.42857142857142855
4,"15 a 19 años",1,"Hombre",20210905,"2021-09-05",41,69,0.5942028985507246
4,"15 a 19 años",2,"Mujer",20210905,"2021-09-05",28,69,0.4057971014492754
5,"20 a 24 años",1,"Hombre",20210905,"2021-09-05",122,214,0.5700934579439252
5,"20 a 24 años",2,"Mujer",20210905,"2021-09-05",92,214,0.42990654205607476
6,"25 a 29 años",1,"Hombre",20210905,"2021-09-05",133,267,0.49812734082397003
6,"25 a 29 años",2,"Mujer",20210905,"2021-09-05",134,267,0.50187265917603
7,"30 a 34 años",1,"Hombre",20210905,"2021-09-05",144,261,0.5517241379310345
7,"30 a 34 años",2,"Mujer",20210905,"2021-09-05",117,261,0.4482758620689655
8,"35 a 39 años",1,"Hombre",20210905,"2021-09-05",132,237,0.5569620253164557
8,"35 a 39 años",2,"Mujer",20210905,"2021-09-05",105,237,0.4430379746835443
9,"40 a 44 años",1,"Hombre",20210905,"2021-09-05",100,193,0.5181347150259067
9,"40 a 44 años",2,"Mujer",20210905,"2021-09-05",93,193,0.48186528497409326
10,"45 a 49 años",1,"Hombre",20210905,"2021-09-05",97,201,0.48258706467661694
10,"45 a 49 años",2,"Mujer",20210905,"2021-09-05",104,201,0.5174129353233831
11,"50 a 54 años",1,"Hombre",20210905,"2021-09-05",80,171,0.4678362573099415
11,"50 a 54 años",2,"Mujer",20210905,"2021-09-05",91,171,0.5321637426900585
12,"55 a 59 años",1,"Hombre",20210905,"2021-09-05",101,182,0.554945054945055
12,"55 a 59 años",2,"Mujer",20210905,"2021-09-05",81,182,0.44505494505494503
13,"60 a 64 años",1,"Hombre",20210905,"2021-09-05",72,145,0.496551724137931
13,"60 a 64 años",2,"Mujer",20210905,"2021-09-05",73,145,0.503448275862069
14,"65 a 69 años",1,"Hombre",20210905,"2021-09-05",63,98,0.6428571428571429
14,"65 a 69 años",2,"Mujer",20210905,"2021-09-05",35,98,0.35714285714285715
15,"70 a 74 años",1,"Hombre",20210905,"2021-09-05",45,74,0.6081081081081081
15,"70 a 74 años",2,"Mujer",20210905,"2021-09-05",29,74,0.3918918918918919
16,"75 a 79 años",1,"Hombre",20210905,"2021-09-05",61,85,0.7176470588235294
16,"75 a 79 años",2,"Mujer",20210905,"2021-09-05",24,85,0.2823529411764706
17,"80 a 84 años",1,"Hombre",20210905,"2021-09-05",29,50,0.58
17,"80 a 84 años",2,"Mujer",20210905,"2021-09-05",21,50,0.42
18,"85 años o más",1,"Hombre",20210905,"2021-09-05",16,35,0.45714285714285713
18,"85 años o más",2,"Mujer",20210905,"2021-09-05",19,35,0.5428571428571428
