"Sex ID","Sex","Age Range ID","Age Range","Population","Population_","Percentage"
1,"Hombre",1,"0 a 4 años",3740,-3740,2.934622265465616
1,"Hombre",2,"5 a 9 años",3475,-3475,2.7266878001318227
1,"Hombre",3,"10 a 14 años",3681,-3681,2.8883274222403563
1,"Hombre",4,"15 a 19 años",4317,-4317,3.3873701390414617
1,"Hombre",5,"20 a 24 años",5265,-5265,4.131226264084618
1,"Hombre",6,"25 a 29 años",5071,-5071,3.9790025422930855
1,"Hombre",7,"30 a 34 años",4519,-4519,3.545871127710994
1,"Hombre",8,"35 a 39 años",3962,-3962,3.1088164213301526
1,"Hombre",9,"40 a 44 años",3618,-3618,2.838893945576096
1,"Hombre",10,"45 a 49 años",3810,-3810,2.989548350648128
1,"Hombre",11,"50 a 54 años",3673,-3673,2.882050155362355
1,"Hombre",12,"55 a 59 años",3597,-3597,2.8224161200213427
1,"Hombre",13,"60 a 64 años",3422,-3422,2.685100907065064
1,"Hombre",14,"65 a 69 años",2745,-2745,2.1538871975142024
1,"Hombre",15,"70 a 74 años",2122,-2122,1.6650450393898497
1,"Hombre",16,"75 a 79 años",1522,-1522,1.1942500235397508
1,"Hombre",17,"80 a 84 años",960,-960,0.7532720253601582
1,"Hombre",18,"85 años o más",723,-723,0.5673079940993692
2,"Mujer",1,"0 a 4 años",3723,3723,2.9212830733498634
2,"Mujer",2,"5 a 9 años",3282,3282,2.5752487367000407
2,"Mujer",3,"10 a 14 años",3462,3462,2.7164872414550705
2,"Mujer",4,"15 a 19 años",4525,4525,3.5505790778694957
2,"Mujer",5,"20 a 24 años",6169,6169,4.840557421298766
2,"Mujer",6,"25 a 29 años",5948,5948,4.66714792379398
2,"Mujer",7,"30 a 34 años",5075,5075,3.982141175732086
2,"Mujer",8,"35 a 39 años",4323,4323,3.3920780891999627
2,"Mujer",9,"40 a 44 años",4074,4074,3.1966981576221714
2,"Mujer",10,"45 a 49 años",4132,4132,3.242208342487681
2,"Mujer",11,"50 a 54 años",4463,4463,3.5019302595649853
2,"Mujer",12,"55 a 59 años",4084,4084,3.2045447412196735
2,"Mujer",13,"60 a 64 años",4151,4151,3.257116851322934
2,"Mujer",14,"65 a 69 años",3094,3094,2.4277329650670096
2,"Mujer",15,"70 a 74 años",2539,2539,1.9922475754056683
2,"Mujer",16,"75 a 79 años",1695,1695,1.3299959197765294
2,"Mujer",17,"80 a 84 años",1231,1231,0.9659144408524528
2,"Mujer",18,"85 años o más",1252,1252,0.9823922664072063
